"Customer ID#","Account No.","Currency","Type","Balance"
4OiGtg,9iiYmE,Vem1aY,uQpfCZ,BsCuAP
9odmd,aVsrh,abtbI,4NarO,bKHbZ
aIhAB,ky5Tj,voLC0,S87KJ,zBlTJ
hLObCSPe,zXsox59a,tkclvQYp,EfYbqqeD,1f3r7j14
pAxmF,x9nYj,tn1ZH,vPRS3,fQ6J3
yWMVCjC,4Mf4tZG,IVXzdZj,oN6rZOj,5B3pgMp
CsF,I5m,Z7H,3M6,Rxu
z2k,h4k,SRJ,LO8,4iR
0cc8In1,bjo8INQ,UP5cW3K,iRXhX7U,bRNpQjI
S,N,4,g,0
NbU9qzMKyS,jOE9oqnY4h,vNhj6VfMV6,O1OHkdMRRF,EDoK948m4O
hb,6W,LG,eD,zo
hAYbGVTLzg,jIhseTo9rQ,blsLreQuPs,yvv5KtdDRE,D4PZ1OtWvG
jR9eh1obe,57Ev8PBQ4,lF5KQAKtH,APyXbaSU3,G6bsRS2vR
KFcrDbYrc,ft4nPJDEz,YozRQqZmS,VuI9uT8WD,tkV0qGhee
Oi6us5,tYairO,b002CM,u4Zpys,cvgsnS
x,U,L,1,J
QCxxC20i,jjroP0KO,NBTdqkpN,YdJ9CthM,L5ELfoYn
mWd,EGs,La0,PZC,3Mo
6PEpvtaDY7,6UOqDvsioR,ym2DRNG5GT,aJREFrcCeg,nP52nUWgja
eIA9lCWkb,si979UFT2,FSkc0nCNo,sb861I8MU,dz2NnyR7k
VltckrOH64,5BBndRp00r,VUgx0F1hub,g8h9nrD1uY,FqAsTFRjRS
0u84,Tlq5,fYJF,ANRb,Iuku
saXhjg,re9nbn,yJAWX8,ccf2Ku,pPcKD9
OqMr4QSGDV,XDro9XcC8x,4W0tamnqBB,Z3k2M1SAQH,B7mHPmGMOx
FOuu,ccTG,6gjn,vrCo,2Cql
k,a,J,g,b
tb,zq,Ns,Yt,Z5
eiayHh43Gr,4bQUjZcx4m,WEsZvzCfS9,DQQcszt90k,vQaAj17G9P
2vkx1u,LFYqBI,obnUip,EQYPAE,Mr9hJ8
6BD7Hg,4ypNJu,PqfQuW,z7ZEv0,K77L5Z
gLKz,z7vQ,n218,U1aK,MoX4
PQDkLEyb,hYKFoCH8,mjzDao2C,V2HpHi8v,AL9pe0g6
AjCnSqi,6Dx8ulY,RD3v1gW,Z8oHgLb,eHboVyj
lI,ol,RT,sr,AT
QHTUZbWP,MyY8O88g,14YWOnCz,l2DjmmlQ,dEZP1Mku
2,P,F,t,D
mXP,ykr,WRL,Ra3,DS8
O37nU7JW,WW5Tax4u,RkBoQpgr,pznlDK1T,5MeUv6AQ
Qv,rR,Pr,iA,ZL
2TLf78Bjqx,lQuWnXm3fC,yMexQZ1Wmi,zdnNRjj58U,ppgFLvkiCj
5GfMbfWX8f,x1bDQZL5LW,3SuKMBxofe,s2dkOGjsAD,uqqU1nCbdq
4,y,E,P,y
Q,c,W,Q,d
dWro72O,TAmzh7O,TSKQn14,Cyefzhb,728rEWj
5g6SFWf,5yNbXr4,vgyfckZ,iOcl11l,6iy47Tf
JbY8rgB,MUXFv4L,AiR1VJt,f9rSE75,xisVNTz
F,X,E,O,G
GCm,4R0,7zy,ZQ1,xJv
pu,6V,pi,Iu,Xj
4EmXYLVzj,864BUWsYm,AQ2DVTVan,a2umoJhHG,GYtpenRtc
ltcOS,AZsps,VUb5j,BpUs5,Mi4qh
UoY0peNcr,fLaLGQDUH,ypKx4E8td,q40HTYxnV,aznJXn5Lu
hSBiF,2og1b,C3V9O,tQ9ig,YgDVT
HPXTEu,sHdsuJ,GYBJ9d,MenDCc,GH1AQg
b34EML0,KrayLLd,dfYhl4I,5WAblI1,mK4gBeH
gl7FYKfx,oebtvcGf,ES9hCPB1,6Ss2ycdF,KI7L80Xv
dnsaRSRS3,Irsen53fK,BxRkyZTDl,uH0mx51KI,TUZcCe2IN
C,I,s,6,h
NxqDi7s0,UHZDWcmW,bghe3Z0P,sdvWI2iU,kTSsmETm
aLUXhhYm,9NvDPi0X,UxNIWh3i,oSIQYKAo,QmUmToxk
Lm,NX,Bg,4Z,X0
dl2p,0Mpe,vCuI,idV5,u3Ep
j,t,i,U,0
m,k,X,I,C
gLor,f4jc,znU7,ti0P,3d59
m1c,Qfk,3YQ,0tT,7gm
55Nr,pgkh,khR9,ZEYU,xWDc
t5oCl,P1Ndk,Ci3F1,H6yGu,qvg1I
5GmakRrPV,phgCfM3AX,0oTjOU0Lr,6yCKUtXPA,JsWvyo8jR
1pEMAz91,idFQJcAt,vrUhNEHb,v6cWpm7X,r3SIL2Tn
OarnAB,F1tmkC,T2eaFX,mi3dvv,D5aRHn
Y6mk,I49t,tGq3,kz4P,GGbh
Zb7Z3NT,RxLGO8L,dPI7kDp,V9Azxhc,KlEh9PU
vSltx,8vpAc,z9zdM,a8jKJ,4MIFR
Efq,5Ol,Kku,nqj,PG0
Nf4hboL,GaVkskj,vlmV1pn,41cfqCY,FstHp84
7G4jGz,H62ZnQ,xrO5qH,FFsYOv,SQOWff
Yk41eEyiYG,IdE0dXQHYl,AAduXtRg3n,fjBxcta8LU,1GOldVP6Y9
Et1e4,QYPoU,L2IUd,gbta1,KAaYR
9i,7y,bQ,2r,oL
B9x93t,i9LD5n,Mq9yYL,cSU9PG,A7TT1Z
pJ1dM9Yif,hsifcFEec,dsM1bvZfE,l2yE1kCEV,zWp50fPDF
E5jUuC,auMIB5,RiALxW,xTfMxQ,1JykGZ
V2YH,6vQu,FzlF,ZqEH,a9nc
zURm,XLeU,rOLt,lxSe,ZBgM
2,e,E,Z,7
W1mWMm5bJy,btxXM0TOLk,biHhboeWSF,7ip768dWWo,E4vnnUiNyb
v,K,Q,L,H
VTD,TxM,2uy,x7o,cM8
P,q,s,c,i
hGG,Kq5,IM3,EzJ,TaM
BuJxuruPyf,FtxG5gXM7s,mfyEdj8fML,sS0TqDedRL,e14rFtiKrb
1A4He9,WUigqR,59ltux,qAY6QI,RMYFBm
LRPuMu1i,sXL2xpdq,SJIFMjuW,QLv6Fgvf,TKyiIiba
edkLsN,vu2vR9,Ig7nvj,XnL19S,gbcaJy
Hb7U75T9j,3fqepmtZz,t5WLbRDty,BKd7frovr,UAm3J1jMJ
dC4jIe,v3gPKp,1ZWKVf,88Jkln,azvbLM
jz,pN,GI,o9,dv
ys,l9,nQ,sx,kx
Adfb20hMdt,MpsYgB7N3G,Yq8k8uyiiZ,5yk7O1HDVa,hjvVRbSUof
oh5iBiMK,N52KzQ9p,cc1iGlWD,5QeO5aSE,oLbHRUS7
PsEF,EklU,UBnk,p4Wo,EZ6I
UzEy,AuYT,4k33,R0tl,fcjV
K9bX,D93I,IoYU,AEBH,VYmF
sa0m,GJmk,GfAi,dSJc,1o87
aOU1CDg,SFbcXgK,yWFF7iE,Bq7mQAa,maViN7l
T5,rY,n6,UO,bt
ZeY6JN,38kjns,M5RmPU,ZNxnMn,DFb9or
hcUt1,5HpJP,aHRUD,PHvfR,Cpqbo
ngfZIgPrH,ta55d2cMA,sUTsyCUzD,IvhnBRq5C,t0aj9t3gt
5zK6us,e9fy5y,Fgx2sL,aJFA6l,F9SFpn
Ey,ek,OA,Od,NU
1,l,C,S,f
x,u,m,O,u
eVQ,Cc5,t1N,Slv,gUc
9128dM7,GOtsBCU,PFGsdny,JksS6qn,nAqL7gb
A,R,B,d,F
pjQt7Lky1,JBIEGuX8C,UX1qqNFh5,YovmngJ26,AkdYE1ou5
o8uXN,9Odos,teg2G,7YEfd,LdFp3
T,O,D,R,I
ONd7,Cx1R,Vpxn,qFeC,9j83
j8Oyr,MYajo,zYve8,ipEze,1Vp9h
YgLxA0qDeK,3NCCJxNhao,TAajbhv7Vx,RqhmAsZ90g,pjlLS7FslH
nvp4,94KH,Vz8o,3k8J,J7pC
inET,hG8K,4299,2Wi9,nfp6
CYFyCTxMJv,RDAPNKsC9p,QsMNrDAQhS,Y8uLRsKY5c,g64I83k73H
VzT3M,hK3k3,7sWJg,LmdIQ,3hGnD
mQflKTa,eX94Aik,OkEYnq1,0fHBat2,h5hrB9E
